Fri Mar 07 2014 08:06:27 GMT-0800 (Pacific Standard Time)  adum restarting their server.
Fri Mar 07 2014 08:06:41 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 08:07:07 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 08:07:08 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 08:07:10 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 08:07:10 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. We are still looking for a partner for you.
Fri Mar 07 2014 08:07:10 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 08:07:11 GMT-0800 (Pacific Standard Time)  Disconnecting before hello.
Fri Mar 07 2014 08:07:46 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 08:07:52 GMT-0800 (Pacific Standard Time)  rlog {"msg":"reconnect","wid":"adam1"}
Fri Mar 07 2014 08:07:52 GMT-0800 (Pacific Standard Time)  Thanks for reconnecting adam1. We are still looking for a partner for you.
Fri Mar 07 2014 08:07:52 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 08:07:57 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 08:07:57 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307160757835-adam1-adam2-0.4.3
Fri Mar 07 2014 08:08:05 GMT-0800 (Pacific Standard Time)  Disconnecting adam1
Fri Mar 07 2014 08:08:06 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 08:08:06 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 08:09:10 GMT-0800 (Pacific Standard Time)  Disconnecting adam2
Fri Mar 07 2014 08:09:11 GMT-0800 (Pacific Standard Time)  hello adam2
