Sat Mar 22 2014 15:48:10 GMT-0400 (EDT)  tamuz restarting his server.
Sat Mar 22 2014 15:48:19 GMT-0400 (EDT)  hello xxx
Sat Mar 22 2014 15:48:19 GMT-0400 (EDT)  waiting xxx
Sat Mar 22 2014 15:53:13 GMT-0400 (EDT)  xxx disconnected
Sat Mar 22 2014 15:55:10 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 15:55:10 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 15:55:46 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 15:55:46 GMT-0400 (EDT)  Creating conversation 20140322195546226-x-y-0.4.3
Sat Mar 22 2014 15:55:53 GMT-0400 (EDT)  Updating convid 20140322195546226-x-y-0.4.3 to length 1
Sat Mar 22 2014 15:55:55 GMT-0400 (EDT)  Updating convid 20140322195546226-x-y-0.4.3 to length 2
Sat Mar 22 2014 15:57:53 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 15:57:54 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 15:57:54 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 15:57:59 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 15:57:59 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 15:57:59 GMT-0400 (EDT)  Creating conversation 20140322195759755-x-y-0.4.3
Sat Mar 22 2014 15:58:04 GMT-0400 (EDT)  Updating convid 20140322195759755-x-y-0.4.3 to length 1
Sat Mar 22 2014 15:58:08 GMT-0400 (EDT)  Updating convid 20140322195759755-x-y-0.4.3 to length 2
Sat Mar 22 2014 15:58:33 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 15:58:33 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 15:58:33 GMT-0400 (EDT)  waiting y
Sat Mar 22 2014 15:58:35 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 15:58:36 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 15:58:36 GMT-0400 (EDT)  Creating conversation 20140322195836407-y-x-0.4.3
Sat Mar 22 2014 15:58:45 GMT-0400 (EDT)  Updating convid 20140322195836407-y-x-0.4.3 to length 1
Sat Mar 22 2014 16:04:05 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 16:04:06 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 16:04:06 GMT-0400 (EDT)  waiting y
Sat Mar 22 2014 16:04:07 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 16:04:08 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 16:04:08 GMT-0400 (EDT)  Creating conversation 2014032220048246-y-x-0.4.3
Sat Mar 22 2014 16:04:14 GMT-0400 (EDT)  Updating convid 2014032220048246-y-x-0.4.3 to length 1
Sat Mar 22 2014 16:12:35 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 16:12:37 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 16:12:37 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 16:12:41 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 16:12:42 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 16:12:42 GMT-0400 (EDT)  Creating conversation 20140322201242095-x-y-0.4.3
Sat Mar 22 2014 16:12:46 GMT-0400 (EDT)  Updating convid 20140322201242095-x-y-0.4.3 to length 1
Sat Mar 22 2014 16:12:49 GMT-0400 (EDT)  Updating convid 20140322201242095-x-y-0.4.3 to length 2
Sat Mar 22 2014 16:12:53 GMT-0400 (EDT)  Updating convid 20140322201242095-x-y-0.4.3 to length 3
Sat Mar 22 2014 16:12:58 GMT-0400 (EDT)  Updating convid 20140322201242095-x-y-0.4.3 to length 4
Sat Mar 22 2014 16:13:01 GMT-0400 (EDT)  Updating convid 20140322201242095-x-y-0.4.3 to length 5
Sat Mar 22 2014 16:17:56 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 16:17:57 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 16:17:57 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 16:17:58 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 16:17:59 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 16:17:59 GMT-0400 (EDT)  Creating conversation 20140322201759669-x-y-0.4.3
Sat Mar 22 2014 16:18:21 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 16:18:22 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 16:18:22 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 16:18:24 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 16:18:24 GMT-0400 (EDT)  Creating conversation 20140322201824825-x-y-0.4.3
Sat Mar 22 2014 16:18:24 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 16:19:48 GMT-0400 (EDT)  x disconnected
Sat Mar 22 2014 16:19:49 GMT-0400 (EDT)  hello x
Sat Mar 22 2014 16:19:49 GMT-0400 (EDT)  waiting x
Sat Mar 22 2014 16:19:51 GMT-0400 (EDT)  y disconnected
Sat Mar 22 2014 16:19:52 GMT-0400 (EDT)  hello y
Sat Mar 22 2014 16:19:52 GMT-0400 (EDT)  Creating conversation 20140322201952519-x-y-0.4.3
Sat Mar 22 2014 16:20:40 GMT-0400 (EDT)  Updating convid 20140322201952519-x-y-0.4.3 to length 1
Sat Mar 22 2014 16:21:10 GMT-0400 (EDT)  Updating convid 20140322201952519-x-y-0.4.3 to length 2
